Type	Tissue	spemirp.value	spehostp.value	speratiop.value	spemirestimate	spehostestimate	speratioestimate	spemirfulogp	spehostfulogp	speratiofulogp	normirp.value	norhostp.value	norratiop.value	normirestimate	norhostestimate	norratioestimate	normirfulogp	norhostfulogp	norratiofulogp
ENSG00000187772hsa-let-7i-5p	TCGA-CHOL	0.249344139476654	0.859629575576827	0.509402438191854	-0.197055337817433	-0.0305454398885246	-0.113614136170732	-0.603200834876381	-0.0656886510111494	-0.292938980670531	0.200345819529337	0.74566870344275	0.606667457853116	-0.21854975281877	-0.0559929505996451	-0.0887691416557077	-0.698219715244172	-0.127454084356507	-0.217049300348294
ENSG00000187772hsa-let-7i-5p	TCGA-COAD	0.0423400656136801	0.436325363759443	0.0444336362930831	-0.0967221349038419	0.0371599655206266	-0.0957649057105979	-1.37324847329731	0.360189540575872	-1.35228814416629	0.0134006202820812	0.285695974318025	0.0286575586161144	-0.117683647925688	0.0509502046673062	-0.104210269576002	-1.87287509873591	0.544095879126481	-1.5427608106139
ENSG00000187772hsa-let-7i-5p	TCGA-DLBC	0.0992457458758198	0.329085726495871	0.063309746310011	0.243384190775898	-0.145516774748861	0.273052659414015	1.00328810000317	-0.482690954042642	1.19852942674678	0.281745721580008	0.356732776225577	0.0983495501651479	0.160308499491203	-0.137492835200866	0.244012177540597	0.550142670164915	-0.447656986316373	1.00722762213245
ENSG00000187772hsa-let-7i-5p	TCGA-ESCA	0.529728110896914	0.461437392094717	0.25002435994583	-0.0500422780517362	0.0586336310004357	-0.0914648192726611	-0.275946979899071	0.33588721579147	-0.602017675829321	0.253387274865614	0.804511652047621	0.332595239367288	-0.0908210799273	0.0197202962888846	-0.0770886220961439	-0.596215199217427	0.0944676614675762	-0.478083971386234
ENSG00000187772hsa-let-7i-5p	TCGA-HNSC	0.0111589765829027	0.131766202448333	0.00562752438990836	-0.113747290674182	0.0676988564980135	-0.124026963241569	-1.95237563378365	0.880195970413241	-2.24968261407428	0.00409028472650758	0.118423219124533	0.00669314934783858	-0.128575853588623	0.0701298701652737	-0.121493103412306	-2.38824645951169	0.926563137570694	-2.1743694842422
ENSG00000187772hsa-let-7i-5p	TCGA-KICH	0.952634399664187	0.0748241029581131	0.0422793563519951	-0.00751320455034852	0.222511065963122	-0.252684095437321	-0.0210737401511152	1.12595848107216	-1.3738716328808	0.206352305023049	0.00333024466598371	0.0243520756711993	0.158822281926074	0.358853872263571	-0.279108222768799	0.68539067554741	2.47752385863083	-1.61346401538861
ENSG00000187772hsa-let-7i-5p	TCGA-KIRC	0.26418006984553	5.43955984485587e-05	3.73241271660967e-05	-0.0503323273159928	0.180546336531811	-0.18439662979323	-0.578099949335404	4.26443624086874	-4.42801033956757	0.149940041798057	0.00190954616035245	0.000172346513743666	-0.0648732076508115	0.13932462651063	-0.168230437518243	-0.824082372423726	2.71906983876013	-3.76359749715422
ENSG00000187772hsa-let-7i-5p	TCGA-KIRP	0.494537306960831	0.0984546300839411	0.0883791511696225	-0.0403414182243585	0.0973904296340751	-0.100417595208834	-0.305800940475137	1.00676385522293	-1.05365017389976	0.97951784738095	0.0942423037162337	0.0903527711760471	-0.00151677216290588	0.0986244766087171	-0.0998036553845765	-0.00898764650084384	1.02575410626856	-1.04405852281518
ENSG00000187772hsa-let-7i-5p	TCGA-LAML	0.585822017340409	0.791516771405476	0.598504244710752	-0.0454637361017006	0.0220640489589329	-0.0439344014712924	-0.232234309967913	0.101539878462163	-0.222932765144087	0.625201807511624	0.906175505609013	0.681709429969764	-0.0407613951258142	0.00983881929285491	-0.0342269823523856	-0.203979775068734	0.042787681201872	-0.166400698438822
ENSG00000187772hsa-let-7i-5p	TCGA-LGG	1.66409444156301e-08	0.023390435314331	0.475653184543884	-0.243184881178281	-0.0989328225868608	-0.0311982390985322	-7.77882203003701	-1.63096169555499	-0.32270959126411	1.39563497884938e-07	0.0515932890289721	0.190750275681114	-0.227345075546129	-0.0850015468116238	-0.057191209432356	-6.85522815434939	-1.28740678533463	-0.719534825710171
ENSG00000187772hsa-let-7i-5p	TCGA-LIHC	5.10609222558525e-05	0.0300341904489396	4.62308612680651e-06	-0.208964424858782	0.112815582009416	-0.235601650555024	-4.2919113452895	1.52238406966957	-5.33506801570135	3.96318852036225e-09	0.0411521134213423	4.97323073299382e-08	-0.299926331471346	0.106217140079344	-0.278755094212856	-8.40195526871912	1.38560785611009	-7.30336139121188
ENSG00000187772hsa-let-7i-5p	TCGA-LUAD	0.086504280676719	0.0365997986514221	0.79382033020459	-0.0765077106854389	-0.0932263244204944	0.0116818184296144	-1.06296240087878	-1.43652130380824	0.100277782749834	3.70562484337486e-06	0.0817093814450891	0.634577848562172	-0.20464038611918	-0.0776967236282803	-0.0212427452439017	-5.43113855066723	-1.08772807717713	-0.197515092045127
ENSG00000187772hsa-let-7i-5p	TCGA-LUSC	0.000333385343210926	0.308463857667241	0.00356760213259169	-0.164111182416451	0.0468770375750586	-0.133599501842789	-3.47705349719709	0.510795714402893	-2.44762358514083	9.80055978471743e-05	0.259794331438383	0.00230214605257054	-0.177964806770676	0.0518612869284033	-0.13969035475978	-4.00874911772886	0.585370329213292	-2.63786712735551
ENSG00000187772hsa-let-7i-5p	TCGA-MESO	0.369098781362046	0.0170620863920645	0.0285299258809848	0.0980525300240033	0.256651923856694	-0.23624873948336	0.432857388693838	1.76796786337026	-1.54469935661215	0.764836383596104	0.00859595972547695	0.0136425438588918	0.032726902070401	0.281712958596935	-0.265076317779295	0.116431460665038	2.06570562796934	-1.86510464134587
ENSG00000187772hsa-let-7i-5p	TCGA-OV	5.01976336249467e-12	0.218380154623692	4.16285119618029e-07	-0.346616702965554	0.0637087602974999	-0.257797071449202	-11.2993167555213	0.660786830843791	-6.38060911297409	4.72881469624441e-14	0.229859569354544	8.02275222186491e-09	-0.376185188396062	0.0621524815662135	-0.292303021623324	-13.3252477039535	0.638537411289942	-8.09567662052822
ENSG00000187772hsa-let-7i-5p	TCGA-PAAD	0.36011538413863	0.991603950099109	0.437634802439624	-0.0689973535232392	0.000794334553316674	-0.0585406730994401	-0.443558325160782	0.00366175186909219	-0.358888148497096	0.0290937155738185	0.556236007342436	0.660415962370537	-0.163612770728006	-0.044396583411347	-0.0331543715220609	-1.53620081123277	-0.254740900973533	-0.180182438307998
